NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;INCOME_TOTAL;INCOME_MEN;INCOME_WOMEN;AVERAGE_INCOME_TOTAL;AVERAGE_INCOME_MEN;AVERAGE_INCOME_WOMEN;AVERAGE_INCOME_FULLTIME_TOTAL;AVERAGE_INCOME_FULLTIME_MEN;AVERAGE_INCOME_FULLTIME_WOMEN;REF_DATE
AT1;AT13;AT130;92100;.;1.860.993.991;1.102.040.673;758.953.318;20.266;22.749;17.605;27.682;29.837;24.677;20091231
AT1;AT13;AT130;92200;.;2.337.650.248;1.407.182.924;930.467.324;21.782;25.094;18.310;29.173;31.768;25.476;20091231
AT1;AT13;AT130;92300;.;1.412.464.045;855.158.829;557.305.216;23.408;27.464;19.273;31.547;35.030;26.866;20091231
AT1;AT13;AT130;90100;.;332.815.734;219.606.774;113.208.960;33.419;42.167;24.310;52.767;62.858;40.002;20101231
AT1;AT13;AT130;90200;.;1.155.657.937;675.817.826;479.840.112;18.998;20.655;17.136;28.573;30.378;26.127;20101231
AT1;AT13;AT130;90300;.;1.255.672.729;734.456.548;521.216.181;22.166;25.291;19.009;33.076;36.415;28.971;20101231
AT1;AT13;AT130;90400;.;491.190.389;290.740.036;200.450.353;24.069;28.164;20.038;37.297;42.193;31.444;20101231
AT1;AT13;AT130;90500;.;673.229.660;384.688.717;288.540.943;18.659;20.231;16.954;28.382;30.091;26.186;20101231
AT1;AT13;AT130;90600;.;460.234.476;267.019.737;193.214.739;22.083;24.979;19.145;34.072;37.812;29.560;20101231
AT1;AT13;AT130;90700;.;501.999.987;284.273.956;217.726.031;22.694;25.755;19.758;34.824;38.082;31.064;20101231
AT1;AT13;AT130;90800;.;379.861.056;216.108.424;163.752.632;23.247;26.591;20.061;36.454;40.208;32.181;20101231
AT1;AT13;AT130;90900;.;622.976.885;357.437.003;265.539.882;22.324;25.517;19.225;35.498;39.431;31.000;20101231
AT1;AT13;AT130;91000;.;2.016.442.240;1.196.031.990;820.410.250;18.186;19.828;16.298;25.772;27.142;23.779;20101231
AT1;AT13;AT130;91100;.;1.148.166.095;682.534.302;465.631.793;18.780;20.685;16.630;25.709;27.131;23.607;20101231
AT1;AT13;AT130;91200;.;1.054.127.352;612.207.646;441.919.706;18.695;20.333;16.884;27.134;28.579;25.138;20101231
AT1;AT13;AT130;91300;.;856.480.498;524.330.605;332.149.893;27.656;33.933;21.695;39.661;45.818;31.909;20101231
AT1;AT13;AT130;91400;.;1.209.406.213;697.886.608;511.519.605;21.692;24.483;18.889;30.697;33.275;27.443;20101231
AT1;AT13;AT130;91500;.;775.056.656;445.299.197;329.757.459;16.571;17.676;15.323;25.085;26.054;23.744;20101231
AT1;AT13;AT130;91600;.;1.151.764.261;660.664.271;491.099.991;18.550;19.979;16.979;27.137;28.623;25.166;20101231
AT1;AT13;AT130;91700;.;688.073.785;405.551.512;282.522.273;19.845;22.272;17.272;30.149;32.573;26.863;20101231
AT1;AT13;AT130;91800;.;759.309.394;455.681.458;303.627.936;24.232;29.104;19.574;36.963;42.017;30.778;20101231
AT1;AT13;AT130;91900;.;1.038.002.850;649.474.106;388.528.744;25.539;31.191;19.902;38.716;44.716;31.013;20101231
AT1;AT13;AT130;92000;.;911.841.222;531.856.198;379.985.024;17.455;18.722;15.993;25.516;26.560;24.033;20101231
AT1;AT13;AT130;92100;.;1.888.189.257;1.106.295.102;781.894.155;20.218;22.707;17.613;27.802;29.786;25.052;20101231
AT1;AT13;AT130;92200;.;2.389.542.769;1.417.401.444;972.141.325;21.934;25.203;18.591;29.381;31.837;25.939;20101231
AT1;AT13;AT130;92300;.;1.432.397.178;856.179.144;576.218.034;23.242;27.229;19.273;31.653;34.918;27.264;20101231
AT1;AT13;AT130;90100;.;343.796.627;224.833.818;118.962.808;34.333;42.585;25.605;53.082;62.102;41.994;20111231
AT1;AT13;AT130;90200;.;1.203.578.277;701.063.406;502.514.871;18.838;20.437;17.047;28.947;30.621;26.660;20111231
AT1;AT13;AT130;90300;.;1.294.785.543;761.001.758;533.783.784;22.054;25.152;18.898;33.536;36.930;29.273;20111231
AT1;AT13;AT130;90400;.;501.993.547;295.600.763;206.392.784;23.672;27.557;19.862;37.539;41.819;32.425;20111231
AT1;AT13;AT130;90500;.;688.914.810;391.128.771;297.786.040;18.532;20.023;16.928;28.622;30.248;26.528;20111231
AT1;AT13;AT130;90600;.;476.063.891;274.648.056;201.415.835;21.989;24.772;19.168;34.513;38.191;30.102;20111231
AT1;AT13;AT130;90700;.;518.118.193;292.599.573;225.518.620;22.659;25.823;19.663;35.408;38.529;31.787;20111231
AT1;AT13;AT130;90800;.;395.074.477;226.840.619;168.233.858;23.262;26.869;19.829;37.317;41.277;32.721;20111231
AT1;AT13;AT130;90900;.;643.841.659;368.058.098;275.783.562;22.229;25.361;19.209;36.284;40.147;31.833;20111231
AT1;AT13;AT130;91000;.;2.068.160.761;1.227.131.787;841.028.974;18.012;19.581;16.197;25.880;27.122;24.032;20111231
AT1;AT13;AT130;91100;.;1.189.842.984;707.193.693;482.649.290;18.958;20.881;16.792;26.008;27.378;23.957;20111231
AT1;AT13;AT130;91200;.;1.080.309.105;629.134.930;451.174.175;18.486;20.069;16.720;27.330;28.705;25.385;20111231
AT1;AT13;AT130;91300;.;872.524.690;535.333.847;337.190.844;27.763;34.204;21.671;40.116;46.201;32.408;20111231
AT1;AT13;AT130;91400;.;1.239.051.043;715.190.394;523.860.649;21.670;24.414;18.907;31.227;33.783;27.904;20111231
AT1;AT13;AT130;91500;.;799.329.590;459.639.537;339.690.053;16.416;17.342;15.347;25.289;26.189;24.016;20111231
AT1;AT13;AT130;91600;.;1.188.121.401;683.026.904;505.094.497;18.251;19.548;16.800;27.301;28.646;25.487;20111231
AT1;AT13;AT130;91700;.;706.472.600;415.709.327;290.763.273;19.510;21.761;17.109;30.594;33.120;27.204;20111231
AT1;AT13;AT130;91800;.;768.979.978;459.492.996;309.486.981;23.771;28.412;19.339;36.979;41.831;31.041;20111231
AT1;AT13;AT130;91900;.;1.061.514.185;661.784.125;399.730.060;25.372;30.828;19.915;39.197;45.084;31.641;20111231
AT1;AT13;AT130;92000;.;936.148.830;544.214.054;391.934.776;17.334;18.534;15.951;25.798;26.731;24.439;20111231
AT1;AT13;AT130;92100;.;1.958.993.025;1.149.129.979;809.863.046;20.325;22.816;17.706;28.091;30.093;25.281;20111231
AT1;AT13;AT130;92200;.;2.486.902.806;1.467.714.564;1.019.188.241;22.026;25.197;18.790;29.724;32.105;26.349;20111231
AT1;AT13;AT130;92300;.;1.466.215.847;872.954.280;593.261.567;23.303;27.206;19.423;32.006;35.123;27.767;20111231
AT1;AT13;AT130;90100;.;330.576.105;207.861.677;122.714.428;33.111;40.707;25.496;51.967;60.655;41.769;20121231
AT1;AT13;AT130;90200;.;1.275.308.269;744.728.271;530.579.998;19.315;21.113;17.324;29.768;31.525;27.331;20121231
AT1;AT13;AT130;90300;.;1.371.257.282;806.630.300;564.626.981;22.551;25.794;19.253;34.400;37.926;29.932;20121231
AT1;AT13;AT130;90400;.;525.415.040;311.502.190;213.912.850;24.524;28.700;20.400;39.133;43.361;33.853;20121231
AT1;AT13;AT130;90500;.;713.704.094;404.261.327;309.442.768;18.736;20.265;17.102;29.199;30.723;27.234;20121231
AT1;AT13;AT130;90600;.;495.251.296;284.978.942;210.272.354;22.183;24.984;19.359;35.085;38.622;30.880;20121231
AT1;AT13;AT130;90700;.;539.508.276;300.724.867;238.783.410;22.992;25.964;20.199;36.412;39.328;33.072;20121231
AT1;AT13;AT130;90800;.;408.734.515;235.220.633;173.513.883;23.362;27.110;19.791;38.302;42.612;33.249;20121231
AT1;AT13;AT130;90900;.;678.787.085;390.454.023;288.333.061;22.719;26.121;19.443;37.173;41.169;32.548;20121231
AT1;AT13;AT130;91000;.;2.146.422.913;1.276.167.051;870.255.862;18.184;19.719;16.389;26.333;27.481;24.579;20121231
AT1;AT13;AT130;91100;.;1.228.295.565;730.279.042;498.016.523;19.209;21.188;16.980;26.472;27.904;24.305;20121231
AT1;AT13;AT130;91200;.;1.129.976.545;655.916.711;474.059.834;18.729;20.359;16.925;27.823;29.138;25.952;20121231
AT1;AT13;AT130;91300;.;897.146.594;541.634.045;355.512.549;27.927;33.912;22.273;40.994;46.845;33.650;20121231
AT1;AT13;AT130;91400;.;1.298.030.355;753.559.083;544.471.272;22.113;24.975;19.207;31.959;34.549;28.537;20121231
AT1;AT13;AT130;91500;.;852.134.921;491.473.581;360.661.340;16.688;17.712;15.507;25.772;26.654;24.514;20121231
AT1;AT13;AT130;91600;.;1.256.608.585;724.641.476;531.967.109;18.578;19.983;17.009;28.009;29.417;26.052;20121231
AT1;AT13;AT130;91700;.;731.050.280;426.793.008;304.257.272;19.531;21.753;17.177;30.669;33.018;27.479;20121231
AT1;AT13;AT130;91800;.;804.685.370;475.312.443;329.372.927;24.171;28.808;19.817;38.261;43.199;32.263;20121231
AT1;AT13;AT130;91900;.;1.106.484.211;691.014.573;415.469.638;25.826;31.546;20.145;39.787;45.845;32.079;20121231
AT1;AT13;AT130;92000;.;963.472.272;557.579.397;405.892.876;17.548;18.702;16.220;26.287;27.281;24.860;20121231
AT1;AT13;AT130;92100;.;2.038.041.686;1.190.170.084;847.871.602;20.566;22.980;18.030;28.624;30.420;26.071;20121231
AT1;AT13;AT130;92200;.;2.615.813.406;1.539.218.924;1.076.594.482;22.440;25.666;19.164;30.392;32.688;27.106;20121231
AT1;AT13;AT130;92300;.;1.518.149.700;899.263.515;618.886.186;23.620;27.422;19.839;32.384;35.295;28.392;20121231
AT1;AT13;AT130;90100;.;330.991.192;208.208.173;122.783.019;32.852;40.698;25.177;52.982;62.375;41.966;20131231
AT1;AT13;AT130;90200;.;1.340.350.146;780.592.429;559.757.717;19.519;21.331;17.527;30.331;32.128;27.863;20131231
AT1;AT13;AT130;90300;.;1.406.613.969;819.462.912;587.151.056;22.519;25.580;19.432;34.612;37.903;30.469;20131231
AT1;AT13;AT130;90400;.;529.991.614;312.753.231;217.238.383;24.208;28.353;20.151;39.000;43.572;33.384;20131231
AT1;AT13;AT130;90500;.;731.418.502;415.545.134;315.873.368;18.801;20.297;17.186;29.760;31.188;27.876;20131231
AT1;AT13;AT130;90600;.;507.858.213;292.284.049;215.574.164;22.133;25.035;19.241;35.781;39.379;31.486;20131231
AT1;AT13;AT130;90700;.;554.171.851;309.648.722;244.523.129;23.093;26.115;20.245;37.215;40.338;33.618;20131231
AT1;AT13;AT130;90800;.;418.842.630;240.353.967;178.488.663;23.336;26.839;19.986;38.729;42.558;34.189;20131231
AT1;AT13;AT130;90900;.;690.020.639;392.372.125;297.648.514;22.492;25.629;19.491;37.205;40.813;33.031;20131231
AT1;AT13;AT130;91000;.;2.203.581.711;1.306.121.659;897.460.052;18.239;19.694;16.534;26.782;27.879;25.115;20131231
AT1;AT13;AT130;91100;.;1.254.509.130;744.820.409;509.688.721;19.369;21.378;17.123;26.979;28.372;24.842;20131231
AT1;AT13;AT130;91200;.;1.153.609.375;669.175.974;484.433.400;18.743;20.306;17.009;28.255;29.515;26.448;20131231
AT1;AT13;AT130;91300;.;901.888.945;542.689.458;359.199.486;27.581;33.355;22.140;40.629;46.322;33.462;20131231
AT1;AT13;AT130;91400;.;1.328.758.466;764.971.615;563.786.851;22.233;24.936;19.501;32.395;34.735;29.292;20131231
AT1;AT13;AT130;91500;.;878.384.860;505.777.773;372.607.087;16.766;17.716;15.666;26.285;27.089;25.140;20131231
AT1;AT13;AT130;91600;.;1.287.589.978;734.965.343;552.624.635;18.701;20.019;17.247;28.501;29.751;26.783;20131231
AT1;AT13;AT130;91700;.;754.209.489;441.732.098;312.477.391;19.665;21.830;17.348;30.984;33.122;28.000;20131231
AT1;AT13;AT130;91800;.;820.436.350;481.584.827;338.851.522;24.150;28.654;19.960;38.803;43.733;32.905;20131231
AT1;AT13;AT130;91900;.;1.107.901.106;682.281.656;425.619.450;25.588;30.929;20.328;40.146;45.955;32.708;20131231
AT1;AT13;AT130;92000;.;986.479.833;569.652.369;416.827.464;17.657;18.805;16.342;26.765;27.621;25.520;20131231
AT1;AT13;AT130;92100;.;2.100.275.700;1.229.201.418;871.074.282;20.869;23.169;18.412;29.218;31.068;26.581;20131231
AT1;AT13;AT130;92200;.;2.696.924.333;1.585.265.169;1.111.659.164;22.515;25.688;19.290;30.841;33.112;27.587;20131231
AT1;AT13;AT130;92300;.;1.561.501.548;927.206.622;634.294.926;23.940;27.688;20.171;33.122;36.270;28.817;20131231
AT1;AT13;AT130;90100;.;356.610.417;227.743.353;128.867.063;32.493;40.078;24.797;54.430;64.346;42.563;20141231
AT1;AT13;AT130;90200;.;1.371.165.509;797.143.010;574.022.499;19.887;21.746;17.848;30.918;32.839;28.276;20141231
AT1;AT13;AT130;90300;.;1.452.682.127;844.921.251;607.760.876;23.026;26.073;19.937;35.240;38.555;31.065;20141231
AT1;AT13;AT130;90400;.;537.654.807;318.118.406;219.536.400;24.199;28.316;20.148;39.015;43.177;33.728;20141231
AT1;AT13;AT130;90500;.;746.493.281;421.658.287;324.834.994;18.952;20.340;17.454;30.117;31.566;28.225;20141231
AT1;AT13;AT130;90600;.;514.854.103;295.061.094;219.793.009;22.505;25.257;19.731;35.881;39.407;31.664;20141231
AT1;AT13;AT130;90700;.;564.705.041;317.022.185;247.682.856;23.505;26.313;20.777;37.625;40.865;33.856;20141231
AT1;AT13;AT130;90800;.;422.726.033;241.991.339;180.734.695;23.590;26.973;20.323;39.501;43.481;34.687;20141231
AT1;AT13;AT130;90900;.;694.455.394;393.124.406;301.330.988;22.703;25.721;19.812;37.690;41.714;33.109;20141231
AT1;AT13;AT130;91000;.;2.256.340.321;1.338.298.283;918.042.038;18.340;19.765;16.657;27.009;28.189;25.208;20141231
AT1;AT13;AT130;91100;.;1.274.738.643;753.758.855;520.979.788;19.489;21.418;17.327;27.184;28.529;25.131;20141231
AT1;AT13;AT130;91200;.;1.180.468.700;686.548.906;493.919.794;18.983;20.542;17.233;28.529;29.831;26.644;20141231
AT1;AT13;AT130;91300;.;914.443.418;551.408.466;363.034.952;27.604;33.517;22.037;41.384;47.332;33.762;20141231
AT1;AT13;AT130;91400;.;1.354.712.987;780.157.906;574.555.081;22.388;24.970;19.744;32.572;34.840;29.542;20141231
AT1;AT13;AT130;91500;.;896.567.081;516.202.197;380.364.885;16.799;17.725;15.722;26.527;27.489;25.164;20141231
AT1;AT13;AT130;91600;.;1.313.190.441;750.347.058;562.843.384;18.733;20.073;17.253;28.868;30.163;27.054;20141231
AT1;AT13;AT130;91700;.;773.010.999;449.415.052;323.595.947;19.642;21.616;17.517;31.195;33.364;28.213;20141231
AT1;AT13;AT130;91800;.;823.165.897;479.264.827;343.901.069;24.164;28.397;20.197;38.995;43.525;33.492;20141231
AT1;AT13;AT130;91900;.;1.121.655.625;690.109.631;431.545.994;25.803;31.082;20.564;40.792;46.614;33.186;20141231
AT1;AT13;AT130;92000;.;999.405.441;578.415.279;420.990.162;17.861;19.012;16.531;27.181;28.102;25.837;20141231
AT1;AT13;AT130;92100;.;2.153.512.515;1.254.268.324;899.244.190;21.104;23.448;18.626;29.551;31.427;26.875;20141231
AT1;AT13;AT130;92200;.;2.791.024.247;1.635.868.641;1.155.155.606;22.830;26.022;19.593;31.231;33.550;27.908;20141231
AT1;AT13;AT130;92300;.;1.570.607.742;932.959.804;637.647.938;24.061;27.771;20.302;33.328;36.409;29.009;20141231
AT1;AT13;AT130;90100;.;.;.;.;31.526;39.276;23.834;54.551;64.011;42.660;20151231
AT1;AT13;AT130;90200;.;.;.;.;20.289;22.057;18.340;31.915;33.666;29.490;20151231
AT1;AT13;AT130;90300;.;.;.;.;23.269;26.160;20.329;36.202;39.396;32.148;20151231
AT1;AT13;AT130;90400;.;.;.;.;24.022;27.449;20.537;39.731;44.001;34.395;20151231
AT1;AT13;AT130;90500;.;.;.;.;19.039;20.320;17.643;30.762;32.085;29.030;20151231
AT1;AT13;AT130;90600;.;.;.;.;22.356;25.186;19.534;36.241;39.695;32.112;20151231
AT1;AT13;AT130;90700;.;.;.;.;23.538;26.502;20.689;38.553;41.685;34.891;20151231
AT1;AT13;AT130;90800;.;.;.;.;23.929;27.178;20.754;40.579;44.791;35.588;20151231
AT1;AT13;AT130;90900;.;.;.;.;22.941;26.176;19.858;38.626;42.813;33.823;20151231
AT1;AT13;AT130;91000;.;.;.;.;18.289;19.578;16.752;27.358;28.388;25.747;20151231
AT1;AT13;AT130;91100;.;.;.;.;19.627;21.456;17.560;27.713;29.003;25.705;20151231
AT1;AT13;AT130;91200;.;.;.;.;18.873;20.227;17.338;28.820;30.087;26.987;20151231
AT1;AT13;AT130;91300;.;.;.;.;28.199;34.095;22.612;42.137;47.922;34.836;20151231
AT1;AT13;AT130;91400;.;.;.;.;22.534;25.127;19.852;33.275;35.704;29.983;20151231
AT1;AT13;AT130;91500;.;.;.;.;16.823;17.703;15.795;27.040;27.868;25.854;20151231
AT1;AT13;AT130;91600;.;.;.;.;18.887;20.151;17.493;29.398;30.607;27.713;20151231
AT1;AT13;AT130;91700;.;.;.;.;20.026;22.051;17.836;32.003;34.119;29.060;20151231
AT1;AT13;AT130;91800;.;.;.;.;24.347;28.392;20.539;39.921;44.511;34.299;20151231
AT1;AT13;AT130;91900;.;.;.;.;25.675;30.760;20.703;41.011;46.432;33.929;20151231
AT1;AT13;AT130;92000;.;.;.;.;17.912;18.936;16.725;27.672;28.428;26.564;20151231
AT1;AT13;AT130;92100;.;.;.;.;21.317;23.604;18.878;29.989;31.762;27.418;20151231
AT1;AT13;AT130;92200;.;.;.;.;22.973;26.104;19.790;31.590;33.803;28.392;20151231
AT1;AT13;AT130;92300;.;.;.;.;24.265;27.829;20.657;33.857;36.645;29.920;20151231
AT1;AT13;AT130;90100;.;.;.;.;34.748;44.494;25.284;58.783;70.302;44.708;20161231
AT1;AT13;AT130;90200;.;.;.;.;21.177;23.053;19.093;33.896;35.570;31.509;20161231
AT1;AT13;AT130;90300;.;.;.;.;24.267;27.273;21.230;38.270;41.265;34.426;20161231
AT1;AT13;AT130;90400;.;.;.;.;24.719;28.089;21.249;42.001;46.127;36.760;20161231
AT1;AT13;AT130;90500;.;.;.;.;19.794;21.035;18.422;32.602;33.865;30.883;20161231
AT1;AT13;AT130;90600;.;.;.;.;23.150;25.928;20.390;38.539;41.819;34.588;20161231
AT1;AT13;AT130;90700;.;.;.;.;24.327;27.280;21.484;40.836;43.910;37.218;20161231
AT1;AT13;AT130;90800;.;.;.;.;24.523;27.806;21.315;42.871;47.111;37.753;20161231
AT1;AT13;AT130;90900;.;.;.;.;23.720;26.709;20.819;40.489;44.031;36.351;20161231
AT1;AT13;AT130;91000;.;.;.;.;19.047;20.383;17.442;29.100;29.992;27.657;20161231
AT1;AT13;AT130;91100;.;.;.;.;20.374;22.312;18.174;29.482;30.656;27.598;20161231
AT1;AT13;AT130;91200;.;.;.;.;19.779;21.158;18.197;30.608;31.667;29.021;20161231
AT1;AT13;AT130;91300;.;.;.;.;29.402;35.210;23.846;44.573;49.856;37.665;20161231
AT1;AT13;AT130;91400;.;.;.;.;23.520;26.185;20.744;35.323;37.301;32.522;20161231
AT1;AT13;AT130;91500;.;.;.;.;17.528;18.326;16.565;28.837;29.654;27.620;20161231
AT1;AT13;AT130;91600;.;.;.;.;19.702;20.909;18.357;31.200;32.075;29.944;20161231
AT1;AT13;AT130;91700;.;.;.;.;20.935;22.878;18.823;34.227;36.029;31.642;20161231
AT1;AT13;AT130;91800;.;.;.;.;25.137;28.781;21.703;41.339;45.008;36.760;20161231
AT1;AT13;AT130;91900;.;.;.;.;26.607;31.756;21.515;43.744;49.122;36.530;20161231
AT1;AT13;AT130;92000;.;.;.;.;18.515;19.534;17.318;29.448;30.104;28.455;20161231
AT1;AT13;AT130;92100;.;.;.;.;22.330;24.649;19.853;32.042;33.674;29.641;20161231
AT1;AT13;AT130;92200;.;.;.;.;24.213;27.406;20.960;33.812;35.817;30.854;20161231
AT1;AT13;AT130;92300;.;.;.;.;25.257;28.796;21.612;35.917;38.601;32.007;20161231
AT1;AT13;AT130;90100;.;.;.;.;34.482;43.291;25.836;58.673;69.618;45.487;20171231
AT1;AT13;AT130;90200;.;.;.;.;21.527;23.329;19.507;34.509;36.173;32.110;20171231
AT1;AT13;AT130;90300;.;.;.;.;24.525;27.449;21.536;38.748;41.584;35.052;20171231
AT1;AT13;AT130;90400;.;.;.;.;25.325;28.646;21.863;43.009;47.189;37.648;20171231
AT1;AT13;AT130;90500;.;.;.;.;20.056;21.191;18.788;32.763;33.791;31.365;20171231
AT1;AT13;AT130;90600;.;.;.;.;23.570;26.170;20.951;39.167;42.143;35.490;20171231
AT1;AT13;AT130;90700;.;.;.;.;24.654;27.563;21.812;41.149;44.324;37.367;20171231
AT1;AT13;AT130;90800;.;.;.;.;24.464;27.658;21.325;42.497;46.203;37.940;20171231
AT1;AT13;AT130;90900;.;.;.;.;24.091;26.974;21.263;41.214;44.689;37.079;20171231
AT1;AT13;AT130;91000;.;.;.;.;19.122;20.464;17.481;29.356;30.157;28.008;20171231
AT1;AT13;AT130;91100;.;.;.;.;20.568;22.493;18.365;29.771;30.924;27.889;20171231
AT1;AT13;AT130;91200;.;.;.;.;20.083;21.449;18.502;31.107;31.947;29.824;20171231
AT1;AT13;AT130;91300;.;.;.;.;29.357;34.920;23.979;44.721;50.016;37.699;20171231
AT1;AT13;AT130;91400;.;.;.;.;23.726;26.262;21.066;35.699;37.635;32.944;20171231
AT1;AT13;AT130;91500;.;.;.;.;17.893;18.729;16.884;29.239;29.888;28.250;20171231
AT1;AT13;AT130;91600;.;.;.;.;19.860;21.056;18.505;31.464;32.349;30.161;20171231
AT1;AT13;AT130;91700;.;.;.;.;21.091;22.962;19.047;34.540;36.242;32.064;20171231
AT1;AT13;AT130;91800;.;.;.;.;25.560;29.294;22.026;42.047;45.869;37.289;20171231
AT1;AT13;AT130;91900;.;.;.;.;26.728;31.641;21.886;43.836;48.690;37.241;20171231
AT1;AT13;AT130;92000;.;.;.;.;18.738;19.742;17.544;29.820;30.380;28.950;20171231
AT1;AT13;AT130;92100;.;.;.;.;22.338;24.588;19.923;32.220;33.776;29.890;20171231
AT1;AT13;AT130;92200;.;.;.;.;24.427;27.641;21.140;34.228;36.265;31.184;20171231
AT1;AT13;AT130;92300;.;.;.;.;25.209;28.658;21.658;35.950;38.424;32.304;20171231
AT1;AT13;AT130;90100;.;.;.;.;33.256;39.889;26.266;59.127;69.163;46.858;20181231
AT1;AT13;AT130;90200;.;.;.;.;22.286;24.349;19.975;34.977;36.627;32.525;20181231
AT1;AT13;AT130;90300;.;.;.;.;24.172;26.577;21.614;38.579;40.882;35.488;20181231
AT1;AT13;AT130;90400;.;.;.;.;25.878;29.397;22.219;43.797;48.224;38.123;20181231
AT1;AT13;AT130;90500;.;.;.;.;20.479;21.832;18.972;33.577;34.846;31.823;20181231
AT1;AT13;AT130;90600;.;.;.;.;23.971;26.700;21.223;40.104;43.040;36.439;20181231
AT1;AT13;AT130;90700;.;.;.;.;25.100;27.920;22.355;41.540;44.190;38.324;20181231
AT1;AT13;AT130;90800;.;.;.;.;25.142;28.198;22.088;44.089;47.844;39.398;20181231
AT1;AT13;AT130;90900;.;.;.;.;24.701;27.464;22.029;41.763;44.816;38.129;20181231
AT1;AT13;AT130;91000;.;.;.;.;19.478;20.761;17.864;29.692;30.407;28.449;20181231
AT1;AT13;AT130;91100;.;.;.;.;21.606;23.712;19.220;30.315;31.435;28.457;20181231
AT1;AT13;AT130;91200;.;.;.;.;20.537;22.004;18.823;31.530;32.454;30.072;20181231
AT1;AT13;AT130;91300;.;.;.;.;29.575;34.726;24.497;44.737;49.167;38.613;20181231
AT1;AT13;AT130;91400;.;.;.;.;23.755;26.011;21.325;35.812;37.620;33.196;20181231
AT1;AT13;AT130;91500;.;.;.;.;18.528;19.391;17.471;29.733;30.321;28.803;20181231
AT1;AT13;AT130;91600;.;.;.;.;21.168;22.486;19.662;32.239;33.058;30.994;20181231
AT1;AT13;AT130;91700;.;.;.;.;22.386;24.568;20.035;35.278;37.077;32.669;20181231
AT1;AT13;AT130;91800;.;.;.;.;26.770;30.714;23.040;42.676;46.605;37.756;20181231
AT1;AT13;AT130;91900;.;.;.;.;28.004;33.340;22.768;44.448;49.618;37.464;20181231
AT1;AT13;AT130;92000;.;.;.;.;18.674;19.619;17.515;30.100;30.463;29.507;20181231
AT1;AT13;AT130;92100;.;.;.;.;23.220;25.578;20.686;32.917;34.416;30.640;20181231
AT1;AT13;AT130;92200;.;.;.;.;25.323;28.659;21.932;34.911;36.947;31.847;20181231
AT1;AT13;AT130;92300;.;.;.;.;26.063;29.719;22.350;36.394;38.796;32.805;20181231
